#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
doralpc;doralpc;mame;;;;Computer / Home System;;;;;;;;;;;;;;
dorodon;Dorodon (set 1);mame;;1982;UPL (Falcon license?);Maze / Collect;2;270;joystick (4-way),joystick (4-way);good;1;raster;;;2P alt;;;;;
tecnbras;Dot Matrix Display (70x7 pixels);mame;;200?;Tecnbras;Misc. / Dot-Matrix Display;0;;;preliminary;0;;;;Non-arcade;;;;;
dotrikun;Dottori Kun (new version);mame;;1990;Sega;Maze / Driving;1;0;joystick (8-way);good;1;raster;;;1P;2;;;;
ddz;Dou Dizhu;mame;;200?;IGS?;Tabletop / Cards;1;0;;preliminary;1;raster;;;???;;;;;
ddz2;Dou Dizhu II;mame;;200?;Sealy;Tabletop / Cards;1;0;;preliminary;1;raster;;;???;;;;;
double8l;Double 8 Line;mame;;1992;AMT Co. Ltd.;Slot Machine / Video Slot;1;0;gambling;preliminary;1;raster;;;???;13;;;;
m4dbl9;Double 9's (Barcrest) (MPU4) (DU9 1.0);mame;;199?;Barcrest;Slot Machine / Reels;1;;only_buttons;preliminary;0;;;;???;7;;;;
dagenta6;Double Agent (0152082, US);mame;;2005;Aristocrat;Slot Machine / Video Slot;0;0;;preliminary;1;raster;aristmk6;;???;;;;;
dblagent;Double Agent (3XF5287H04, US);mame;;1996;Aristocrat;Slot Machine / Video Slot;1;0;gambling;good;1;raster;;;1P;23;;;;
dblaxle;Double Axle (US, Rev 1, set 1);mame;;1991;Taito America Corporation;Driving / Race (chase view);1;0;paddle;imperfect;1;raster;;;1P;5;;;;
m5dbubl;Double Bubble (Barcrest - Red Gaming) (MPU5);mame;;199?;Barcrest / Red Gaming;Slot Machine / Reels;0;;;preliminary;0;;;;???;;;;;
as_dblcs;Double Cash (Astra, V110);mame;;200?;Astra;Slot Machine / Reels;0;;;preliminary;0;;;;???;;;;;
dblchal;Double Challenge (Version 1.5R, set 1);mame;;2003;Amcoe;Slot Machine / Video Slot;1;0;gambling;good;1;raster;;;1P;9;;;;
sc1dblch;Double Chance (Bellfruit) (set 1) (Scorpion 1);mame;;198?;BFM;Slot Machine / Reels;1;;only_buttons;preliminary;0;;;;???;7;;;;
m4dblchn;Double Chance (DJE) (MPU4);mame;;199?;DJE;Slot Machine / Reels;1;;only_buttons;preliminary;0;;;;???;7;;;;
dcheese;Double Cheese;mame;;1993;HAR Management;Gambling / Misc.;1;90;dial;good;1;raster;;;1P;8;;;;
sc4dcrls;Double Crazy Reels (021) (Mazooma) (Scorpion 4) (set 1);mame;;200?;Mazooma;Electromechanical / Reels;1;;mahjong,hanafuda;preliminary;0;;;;???;30;;;;
m4dcrls;Double Crazy Reels (Qps) (MPU4) (set 1);mame;;199?;Qps;Slot Machine / Reels;1;;only_buttons;preliminary;0;;;;???;7;;;;
dblcrown;Double Crown (v1.0.3);mame;;1997;Cadence Technology;Gambling / Cards;1;0;gambling;imperfect;1;raster;;;1P;14;;;;
dbdancem;Double Dance Mania - Techno Light Edition;mame;;2006;Senario;Handheld / Plug n' Play TV Game / Multi-Games;2;0;joystick (16-way),joystick (16-way);imperfect;1;raster;;;Non-arcade;2;;;;
